0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:25 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:25 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:25 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:26 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:26 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:26 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:26 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:27 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:27 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:27 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:29 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:30 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:30 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:30 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:30 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:30 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:31 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:54:31 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
